"The data shown here is provided by Statistics Canada from the 2006 Census as a custom data order for the City of Vancouver, using the City's 22 local planning areas",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2006, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2006,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City of Vancouver),Vancouver CMA  (Metro Vancouver)
   British Isles origins ," 4,720 "," 14,210 "," 10,035 "," 14,340 "," 10,875 "," 6,105 "," 7,500 "," 5,245 "," 4,960 "," 21,900 "," 4,850 "," 9,160 "," 1,780 "," 4,295 "," 7,080 "," 3,185 "," 2,565 "," 2,755 "," 3,180 "," 2,790 "," 18,965 "," 6,595 "," 166,735 "," 753,215 "
     Cornish , -   , -   , 25 , 10 , -   , -   , 10 , 10 , 15 , 10 , -   , -   , -   , -   , 10 , -   , 10 , -   , -   , -   , 10 , -   , 100 , 225 
     English ," 3,095 "," 8,165 "," 6,745 "," 9,015 "," 6,475 "," 3,630 "," 4,495 "," 3,445 "," 3,085 "," 13,060 "," 3,100 "," 5,320 "," 1,160 "," 2,475 "," 4,490 "," 2,100 "," 1,595 "," 1,460 "," 1,850 "," 1,730 "," 10,920 "," 4,440 "," 101,665 "," 484,345 "
     Irish ," 1,610 "," 4,785 "," 3,620 "," 5,280 "," 4,215 "," 2,145 "," 2,960 "," 1,900 "," 1,785 "," 8,370 "," 1,735 "," 3,510 ", 460 ," 1,590 "," 2,680 "," 1,250 ", 995 ," 1,005 "," 1,195 ", 780 ," 6,870 "," 2,390 "," 61,025 "," 251,695 "
     Manx , -   , 20 , -   , 60 , -   , -   , -   , -   , -   , 20 , -   , 10 , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , 130 , 640 
     Scottish ," 2,180 "," 5,950 "," 4,850 "," 6,555 "," 5,125 "," 2,510 "," 3,710 "," 2,340 "," 2,170 "," 10,290 "," 2,415 "," 3,935 ", 915 ," 1,990 "," 3,190 "," 1,600 "," 1,045 "," 1,110 "," 1,545 "," 1,265 "," 7,960 "," 3,085 "," 75,590 "," 337,230 "
     Welsh , 245 , 735 , 560 , 875 , 605 , 285 , 465 , 420 , 260 ," 1,265 ", 270 , 565 , 135 , 195 , 440 , 135 , 110 , 145 , 105 , 195 ," 1,245 ", 440 ," 9,690 "," 41,800 "
"     British Isles, n.i.e. ", 305 ," 1,080 ", 460 , 775 , 575 , 395 , 455 , 310 , 275 ," 1,590 ", 190 , 735 , 50 , 225 , 360 , 110 , 130 , 210 , 145 , 165 ," 1,325 ", 355 ," 10,195 "," 35,505 "
   French origins , 755 ," 3,105 "," 1,625 "," 2,895 "," 2,730 "," 1,150 "," 1,545 ", 805 , 815 ," 4,495 ", 855 ," 2,235 ", 220 , 930 ," 1,460 ", 350 , 500 , 545 , 690 , 505 ," 4,820 "," 1,345 "," 34,325 "," 138,150 "
     Acadian , 10 , 40 , 10 , 90 , 75 , 30 , 35 , -   , 15 , 35 , 20 , 30 , 10 , -   , 10 , -   , 10 , 15 , 10 , -   , 140 , 10 , 590 ," 1,280 "
     French , 735 ," 3,060 "," 1,620 "," 2,805 "," 2,670 "," 1,120 "," 1,535 ", 800 , 805 ," 4,470 ", 845 ," 2,215 ", 220 , 930 ," 1,450 ", 350 , 495 , 530 , 685 , 505 ," 4,755 "," 1,345 "," 33,905 "," 137,270 "
   Aboriginal origins , 95 ," 1,580 ", 940 , 710 ," 2,955 ", 885 ," 1,095 ", 85 , 380 , 820 , 345 ," 1,105 ", 90 , 695 , 485 , 60 , 125 , 890 , 420 , 300 ," 1,205 ", 150 ," 14,780 "," 59,110 "
     Inuit , -   , 10 , -   , -   , -   , -   , -   , -   , -   , 15 , -   , -   , -   , -   , -   , -   , 10 , -   , 10 , 10 , 10 , -   , 75 , 580 
     MÚtis , 45 , 305 , 115 , 195 , 475 , 280 , 160 , -   , 80 , 250 , 55 , 210 , 10 , 195 , 145 , 35 , 35 , 110 , 75 , 95 , 345 , 50 ," 3,270 "," 17,110 "
     North American Indian , 55 ," 1,305 ", 835 , 525 ," 2,560 ", 665 , 945 , 85 , 300 , 585 , 295 , 925 , 80 , 545 , 410 , 25 , 90 , 770 , 375 , 205 , 885 , 100 ," 11,940 "," 43,190 "
   Other North American origins ," 1,525 "," 4,870 "," 3,450 "," 4,220 "," 3,780 "," 2,590 "," 3,165 "," 1,925 "," 2,080 "," 7,185 "," 1,840 "," 2,950 ", 465 ," 2,170 "," 2,985 "," 1,185 ", 955 , 970 ," 1,825 "," 1,590 "," 6,140 "," 2,315 "," 60,040 "," 296,895 "
     American , 205 , 465 , 480 , 475 , 490 , 245 , 340 , 285 , 180 , 825 , 185 , 280 , 10 , 155 , 415 , 170 , 170 , 80 , 200 , 170 , 905 , 275 ," 6,990 "," 27,000 "
     Canadian ," 1,390 "," 4,465 "," 3,100 "," 3,850 "," 3,375 "," 2,440 "," 2,895 "," 1,755 "," 1,955 "," 6,615 "," 1,665 "," 2,695 ", 455 ," 2,055 "," 2,675 "," 1,140 ", 820 , 890 ," 1,705 "," 1,450 "," 5,470 "," 2,115 "," 54,865 "," 278,345 "
     Newfoundlander , -   , 10 , -   , 10 , 30 , -   , 10 , -   , -   , 15 , -   , 10 , -   , -   , -   , -   , 10 , 15 , -   , -   , 10 , -   , 100 , 390 
     Nova Scotian , -   , 40 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , -   , -   , -   , -   , -   , -   , 10 , -   , -   , 15 , 90 , 125 
     Ontarian , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 
     Québécois , 15 , -   , -   , 20 , 25 , 10 , -   , -   , -   , 40 , 10 , 30 , -   , -   , -   , -   , -   , -   , 10 , -   , 15 , -   , 170 , 345 
     Other provincial or regional groups , -   , 10 , 10 , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , 45 , 150 
   Caribbean origins , 50 , 440 , 65 , 310 , 200 , 105 , 225 , 55 , 140 , 330 , 75 , 305 , 70 , 175 , 140 , 20 , 25 , 35 , 90 , 50 , 390 , 70 ," 3,365 "," 11,830 "
     Antiguan , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 15 , 105 
     Bahamian , -   , -   , -   , -   , -   , -   , -   , -   , 15 , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 , 55 
     Barbadian , -   , 65 , -   , 45 , 20 , 15 , 25 , 10 , -   , 25 , -   , 10 , -   , 10 , 10 , -   , -   , -   , 10 , -   , 30 , -   , 265 , 925 
     Bermudan , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 95 
     Carib , -   , 10 , -   , -   , 20 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 30 , 85 
     Cuban , -   , 20 , 10 , 40 , -   , -   , 10 , -   , -   , 15 , 10 , -   , -   , 15 , -   , -   , -   , -   , -   , 25 , 20 , -   , 175 , 540 
"     Dominican, n.o.s. ", -   , 15 , -   , -   , 10 , -   , -   , -   , -   , 10 , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 55 , 195 
     Grenadian , -   , -   , -   , 10 , 10 , 15 , -   , -   , -   , 10 , -   , 10 , -   , 10 , -   , -   , 10 , -   , -   , -   , -   , -   , 55 , 170 
     Guyanese , -   , 70 , -   , 20 , 10 , 10 , 60 , -   , -   , 10 , -   , 30 , 60 , -   , 70 , -   , -   , -   , -   , -   , 15 , -   , 370 , 820 
     Haitian , -   , 20 , -   , 10 , -   , -   , -   , -   , 55 , -   , -   , 15 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 115 , 405 
     Jamaican , 30 , 120 , 10 , 105 , 85 , 35 , 80 , 35 , 40 , 145 , 40 , 125 , -   , 90 , -   , -   , 10 , 10 , 65 , -   , 130 , -   ," 1,180 "," 4,645 "
     Kittitian/Nevisian , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 
     Martinican , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 10 , -   
     Montserratan , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 
     Puerto Rican , 10 , 15 , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 10 , -   , 20 , 10 , -   , -   , -   , -   , -   , 30 , -   , 105 , 265 
     St. Lucian , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , 10 , -   , -   , -   , -   , -   , 15 , -   , 35 , 80 
     Trinidadian/Tobagonian , 10 , 80 , 30 , 80 , 40 , -   , 75 , 10 , 15 , 70 , 10 , 35 , -   , 15 , 15 , -   , 10 , 15 , 15 , 20 , 55 , 45 , 665 ," 2,190 "
     Vincentian/Grenadinian , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 15 , 115 
     West Indian , -   , 40 , -   , 10 , 20 , -   , -   , -   , 10 , 25 , 10 , 25 , -   , 30 , 15 , 15 , 10 , -   , -   , -   , 40 , 15 , 260 ," 1,240 "
"     Caribbean, n.i.e. ", -   , 25 , 15 , 10 , 10 , 25 , -   , 10 , 10 , 10 , -   , 25 , -   , 10 , -   , -   , -   , -   , -   , -   , 45 , -   , 200 , 615 
"   Latin, Central and South American origins ", 100 , 815 , 330 , 570 , 720 , 465 , 815 , 130 , 545 , 665 , 280 , 465 , 95 , 835 , 290 , 35 , 95 , 100 , 645 , 545 ," 1,155 ", 165 ," 9,850 "," 28,575 "
     Aboriginal from Central/South America , -   , 10 , -   , 25 , 60 , -   , 55 , 10 , 25 , 50 , -   , 55 , -   , -   , 25 , -   , -   , 10 , -   , -   , 25 , -   , 370 , 830 
     Argentinian , 15 , 15 , -   , 25 , 25 , 65 , 25 , 15 , 10 , 30 , 20 , 10 , -   , -   , 10 , -   , 40 , -   , -   , -   , 35 , 15 , 365 , 790 
     Belizean , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , -   , 20 , 60 
     Bolivian , 15 , -   , -   , -   , 10 , 10 , -   , -   , 20 , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , 60 , 90 
     Brazilian , -   , 50 , 25 , 20 , 40 , 10 , 20 , 40 , 10 , 40 , 20 , 15 , 10 , 25 , 30 , -   , 15 , -   , -   , -   , 60 , 30 , 475 ," 1,110 "
     Chilean , 20 , 55 , 125 , 50 , 60 , 85 , 60 , 30 , 45 , 35 , 65 , 60 , -   , 85 , 20 , -   , 20 , -   , 75 , 20 , 75 , 45 ," 1,030 "," 2,935 "
     Colombian , 25 , 110 , 25 , 25 , 60 , 20 , 30 , -   , 10 , 35 , -   , 45 , 20 , 65 , 25 , -   , -   , -   , 75 , 20 , 95 , -   , 695 ," 2,130 "
     Costa Rican , 10 , -   , -   , 20 , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 10 , -   , 10 , 70 , 360 
     Ecuadorian , -   , 25 , -   , 20 , 10 , -   , -   , -   , -   , -   , -   , 10 , -   , -   , 10 , -   , -   , -   , -   , -   , 10 , -   , 95 , 225 
     Guatemalan , -   , 25 , 10 , 10 , 85 , 30 , 15 , -   , 30 , 85 , -   , 10 , -   , 35 , 20 , -   , -   , 10 , 45 , -   , 10 , -   , 410 ," 1,405 "
     Hispanic , 15 , 25 , 10 , -   , 10 , -   , -   , -   , -   , 25 , 10 , 15 , -   , 30 , 10 , -   , -   , 20 , 25 , 10 , 30 , -   , 230 , 555 
     Honduran , -   , -   , -   , 15 , 40 , -   , 15 , -   , -   , -   , -   , -   , -   , 15 , -   , 10 , -   , -   , 20 , 60 , -   , -   , 195 , 745 
     Maya , -   , -   , -   , -   , -   , -   , 10 , -   , 20 , 15 , -   , 10 , -   , -   , 10 , -   , -   , 10 , 10 , -   , 15 , -   , 120 , 575 
     Mexican , 10 , 400 , 95 , 215 , 205 , 75 , 200 , 45 , 70 , 205 , 100 , 100 , 60 , 120 , 90 , -   , 15 , 20 , 95 , 25 , 595 , 70 ," 2,805 "," 7,685 "
     Nicaraguan , -   , -   , -   , 10 , 40 , 30 , 95 , -   , 20 , -   , -   , 10 , -   , 65 , 10 , -   , -   , -   , 45 , 20 , 10 , -   , 365 , 860 
     Panamanian , -   , -   , -   , 10 , 10 , -   , 10 , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , 45 , 145 
     Paraguayan , -   , -   , -   , 10 , -   , -   , 20 , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , 40 , 170 
     Peruvian , -   , 20 , 20 , 65 , 10 , 15 , 20 , 10 , 30 , 55 , 10 , 10 , -   , 35 , -   , 15 , -   , -   , 15 , 15 , 110 , -   , 475 ," 1,910 "
     Salvadorean , -   , 20 , -   , 60 , 80 , 135 , 235 , -   , 230 , 110 , 10 , 110 , -   , 305 , 30 , -   , -   , 20 , 195 , 305 , 60 , 10 ," 1,920 "," 5,760 "
     Uruguayan , -   , -   , 10 , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 30 , 60 
     Venezuelan , -   , 20 , 10 , -   , 15 , -   , 20 , -   , 50 , 15 , 30 , 30 , -   , -   , -   , -   , -   , -   , 10 , -   , 10 , -   , 210 , 535 
"     Latin, Central or South American, n.i.e. ", -   , 75 , -   , -   , 15 , 10 , 90 , -   , 10 , 10 , -   , 15 , -   , 55 , 10 , -   , -   , 10 , 30 , 80 , 20 , -   , 425 ," 1,220 "
   European origins ," 4,085 "," 14,860 "," 7,580 "," 12,005 "," 10,160 "," 8,475 "," 9,100 "," 3,745 "," 5,845 "," 19,195 "," 5,290 "," 8,650 "," 1,940 "," 7,735 "," 6,770 "," 2,865 "," 2,595 "," 2,285 "," 4,480 "," 3,510 "," 19,060 "," 5,220 "," 165,220 "," 690,265 "
     Western European origins ," 1,425 "," 5,245 "," 3,075 "," 4,495 "," 3,980 "," 2,135 "," 2,955 "," 1,525 "," 1,755 "," 8,220 "," 1,800 "," 3,610 ", 510 ," 1,670 "," 2,665 ", 920 , 955 , 895 ," 1,730 "," 1,100 "," 7,265 "," 2,460 "," 60,315 "," 289,025 "
       Austrian , 85 , 390 , 365 , 400 , 320 , 110 , 190 , 180 , 135 , 730 , 110 , 225 , 40 , 85 , 265 , 95 , 135 , 50 , 110 , 50 , 705 , 140 ," 4,900 "," 21,500 "
       Belgian , 25 , 105 , 90 , 95 , 170 , 70 , 70 , 40 , 45 , 280 , 10 , 90 , 10 , 45 , 65 , 40 , 50 , 15 , 35 , 40 , 170 , 45 ," 1,605 "," 6,555 "
       Dutch (Netherlands) , 335 ," 1,170 ", 690 , 915 , 710 , 575 , 550 , 290 , 475 ," 1,715 ", 350 , 900 , 85 , 365 , 505 , 265 , 235 , 170 , 320 , 195 ," 1,390 ", 620 ," 12,820 "," 71,710 "
       Flemish , 15 , 70 , -   , -   , 45 , -   , 15 , -   , 10 , 20 , -   , 15 , -   , 10 , 10 , 10 , -   , -   , 10 , -   , 50 , -   , 295 , 815 
       Frisian , -   , -   , 15 , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 35 , 155 
       German , 980 ," 3,680 "," 2,015 "," 3,230 "," 2,875 "," 1,355 "," 2,245 "," 1,050 "," 1,220 "," 5,745 "," 1,390 "," 2,620 ", 390 ," 1,245 "," 2,010 ", 475 , 660 , 640 ," 1,410 ", 860 ," 5,175 "," 1,725 "," 42,940 "," 203,720 "
       Luxembourger , -   , 30 , -   , -   , 20 , 10 , 20 , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 10 , 95 , 240 
       Swiss , 80 , 195 , 185 , 320 , 205 , 190 , 115 , 105 , 10 , 380 , 50 , 155 , 10 , 110 , 125 , 60 , 30 , 65 , 10 , 30 , 295 , 115 ," 2,845 "," 10,130 "
     Northern European origins , 665 ," 2,325 "," 1,430 "," 2,215 "," 1,580 ", 910 ," 1,260 ", 595 , 920 ," 3,065 ", 670 ," 1,485 ", 310 , 725 ," 1,125 ", 415 , 410 , 365 , 395 , 470 ," 2,935 ", 870 ," 25,100 "," 123,620 "
       Finnish , 85 , 265 , 60 , 245 , 145 , 80 , 145 , 15 , 190 , 275 , 65 , 225 , 15 , 120 , 160 , 50 , 10 , 20 , 40 , 65 , 355 , 65 ," 2,705 "," 12,750 "
       Scandinavian origins , 605 ," 2,100 "," 1,395 "," 2,035 "," 1,460 ", 840 ," 1,125 ", 575 , 770 ," 2,865 ", 610 ," 1,360 ", 310 , 650 , 990 , 380 , 405 , 360 , 370 , 405 ," 2,640 ", 810 ," 23,015 "," 113,265 "
         Danish , 80 , 390 , 235 , 410 , 320 , 255 , 165 , 50 , 125 , 745 , 140 , 365 , 70 , 130 , 185 , 65 , 80 , 50 , 45 , 80 , 565 , 130 ," 4,695 "," 22,800 "
         Icelandic , 20 , 205 , 140 , 225 , 105 , 95 , 55 , 120 , 50 , 190 , 70 , 135 , 40 , 35 , 130 , 35 , 115 , 10 , 40 , 75 , 145 , 10 ," 2,035 "," 9,630 "
         Norwegian , 180 , 925 , 615 , 655 , 575 , 290 , 420 , 285 , 275 , 975 , 290 , 525 , 85 , 275 , 340 , 160 , 90 , 135 , 165 , 150 ," 1,085 ", 425 ," 8,880 "," 46,260 "
         Swedish , 340 , 635 , 540 , 825 , 540 , 240 , 560 , 150 , 295 ," 1,080 ", 185 , 370 , 130 , 215 , 395 , 120 , 130 , 165 , 145 , 180 , 920 , 280 ," 8,440 "," 39,925 "
"         Scandinavian, n.i.e. ", 15 , 80 , 25 , 60 , 55 , -   , 30 , 20 , 60 , 95 , 20 , 50 , 10 , 10 , 55 , 20 , 10 , 30 , 15 , 10 , 85 , 25 , 770 ," 3,830 "
     Eastern European origins , 975 ," 4,935 "," 2,330 "," 4,115 "," 3,050 "," 1,745 "," 2,625 "," 1,245 "," 2,030 "," 6,050 "," 2,120 "," 2,810 ", 715 ," 1,605 "," 1,895 "," 1,075 ", 880 , 825 ," 1,245 ", 955 ," 6,840 "," 1,560 "," 51,555 "," 219,320 "
       Baltic origins , 95 , 95 , 130 , 175 , 130 , 60 , 150 , 40 , 75 , 425 , 120 , 145 , 55 , 50 , 115 , 40 , 55 , 25 , 35 , 30 , 255 , 185 ," 2,475 "," 7,705 "
         Estonian , 30 , 15 , 30 , 95 , 20 , -   , 35 , -   , -   , 110 , -   , 25 , 20 , 30 , 25 , 15 , -   , 15 , 10 , -   , 95 , 25 , 600 ," 2,590 "
         Latvian , 25 , 25 , 60 , 40 , 40 , 20 , 40 , 10 , 10 , 135 , 40 , 50 , 10 , 15 , 30 , 10 , 35 , 10 , 10 , 10 , 40 , 60 , 705 ," 2,160 "
         Lithuanian , 35 , 50 , 45 , 40 , 70 , 45 , 85 , 30 , 60 , 195 , 100 , 75 , 30 , -   , 55 , 20 , 25 , 10 , 15 , 20 , 125 , 115 ," 1,245 "," 3,100 "
       Byelorussian , -   , 25 , -   , 20 , -   , 10 , 10 , -   , 25 , 10 , 10 , 10 , 20 , 10 , -   , -   , -   , -   , 10 , -   , 55 , -   , 215 , 815 
       Czech and Slovak origins , 60 , 375 , 230 , 405 , 225 , 205 , 145 , 90 , 170 , 430 , 130 , 360 , 30 , 195 , 100 , 115 , 45 , 85 , 110 , 60 , 890 , 190 ," 4,650 "," 18,215 "
         Czech , 15 , 275 , 125 , 310 , 160 , 125 , 100 , 65 , 95 , 265 , 90 , 135 , 35 , 95 , 55 , 35 , 35 , 35 , 60 , 45 , 535 , 50 ," 2,755 "," 10,390 "
         Czechoslovakian , 10 , 25 , 55 , 20 , 15 , 15 , 20 , 10 , -   , 70 , 15 , 45 , -   , 45 , 20 , 40 , 10 , 30 , 25 , 10 , 80 , 60 , 625 ," 2,805 "
         Slovak , 40 , 100 , 55 , 70 , 50 , 65 , 25 , 25 , 80 , 100 , 25 , 190 , -   , 60 , 20 , 35 , -   , 10 , 30 , -   , 325 , 80 ," 1,395 "," 5,705 "
       Hungarian (Magyar) , 110 , 360 , 255 , 450 , 310 , 175 , 300 , 105 , 245 , 695 , 165 , 375 , 155 , 210 , 225 , 100 , 80 , 115 , 90 , 155 , 815 , 120 ," 5,630 "," 23,365 "
       Polish , 255 ," 1,270 ", 740 ," 1,130 ", 795 , 490 , 705 , 330 , 625 ," 1,730 ", 495 , 755 , 155 , 345 , 555 , 485 , 285 , 135 , 395 , 350 ," 1,770 ", 450 ," 14,250 "," 60,710 "
       Romanian , 90 , 310 , 135 , 275 , 135 , 25 , 145 , 80 , 180 , 375 , 240 , 180 , 50 , 80 , 55 , 90 , 25 , 30 , 50 , 25 , 460 , 90 ," 3,130 "," 14,055 "
       Russian , 260 ," 1,485 ", 680 ," 1,010 ", 780 , 325 , 630 , 380 , 430 ," 1,425 ", 710 , 465 , 220 , 410 , 425 , 330 , 240 , 160 , 315 , 225 ," 1,505 ", 295 ," 12,695 "," 47,940 "
       Ukrainian , 215 ," 1,865 ", 645 ," 1,505 "," 1,195 ", 735 , 955 , 455 , 585 ," 1,955 ", 660 ," 1,020 ", 205 , 485 , 665 , 275 , 315 , 350 , 430 , 300 ," 2,210 ", 510 ," 17,510 "," 81,725 "
     Southern European origins ," 1,370 "," 3,865 "," 1,765 "," 2,760 "," 2,980 "," 4,690 "," 3,570 ", 710 ," 1,905 "," 4,495 "," 1,310 "," 2,235 ", 350 ," 4,445 "," 1,980 ", 450 , 560 , 485 ," 1,610 "," 1,340 "," 4,715 ", 960 ," 48,495 "," 172,420 "
       Albanian , -   , -   , -   , 30 , -   , -   , -   , -   , 10 , -   , 20 , -   , -   , 10 , 15 , -   , -   , -   , 10 , -   , -   , -   , 125 , 650 
       Bosnian , -   , 170 , -   , 70 , -   , 35 , 25 , -   , 50 , 125 , 35 , 25 , 10 , 55 , -   , -   , -   , -   , 10 , -   , 105 , 10 , 735 ," 2,535 "
       Bulgarian , -   , 70 , -   , -   , 30 , 10 , -   , -   , -   , 120 , 65 , 45 , 10 , 10 , 25 , -   , -   , 10 , -   , 10 , 160 , -   , 570 ," 1,965 "
       Croatian , 75 , 355 , 80 , 250 , 205 , 260 , 195 , 15 , 105 , 260 , 75 , 90 , 15 , 305 , 55 , 80 , 65 , 30 , 95 , 65 , 395 , 20 ," 3,095 "," 12,480 "
       Cypriot , -   , 15 , 25 , -   , -   , -   , -   , -   , -   , 15 , -   , -   , -   , 20 , -   , -   , -   , -   , -   , -   , 10 , -   , 80 , 270 
       Greek , 560 , 265 , 505 , 290 , 330 , 250 , 415 , 130 , 205 ," 1,280 ", 155 , 185 , 25 , 275 , 400 , 160 , 90 , 45 , 125 , 95 , 210 , 270 ," 6,270 "," 15,025 "
       Italian , 415 ," 1,305 ", 595 ," 1,065 "," 1,460 "," 3,265 "," 1,205 ", 395 , 530 ," 1,620 ", 300 , 820 , 150 ," 1,500 ", 560 , 105 , 240 , 240 , 545 , 540 ," 1,640 ", 305 ," 18,780 "," 76,345 "
       Kosovar , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 90 
       Macedonian , -   , -   , -   , 10 , 15 , 15 , 30 , -   , -   , 70 , 15 , -   , -   , -   , 10 , -   , -   , -   , -   , -   , 85 , -   , 265 , 600 
       Maltese , -   , 30 , 90 , 10 , 20 , -   , 10 , 10 , -   , 30 , 10 , -   , -   , -   , -   , -   , 15 , 10 , -   , -   , 50 , 10 , 300 , 990 
       Montenegrin , -   , 10 , 15 , 10 , 10 , -   , -   , -   , 10 , 30 , 15 , -   , -   , 10 , -   , -   , 10 , -   , -   , -   , 35 , -   , 165 , 370 
       Portuguese , 100 , 360 , 190 , 250 , 365 , 345 , 800 , 60 , 310 , 255 , 205 , 215 , -   ," 1,160 ", 265 , 15 , 40 , 40 , 225 , 260 , 420 , 45 ," 5,935 "," 20,335 "
       Serbian , 140 , 625 , 70 , 280 , 65 , 155 , 95 , 10 , 70 , 220 , 70 , 105 , -   , 135 , 75 , 10 , 25 , 15 , 10 , 25 , 565 , 10 ," 2,770 "," 7,685 "
       Sicilian , -   , -   , -   , -   , 15 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 , -   , -   , -   , -   , -   , 40 , 180 
       Slovenian , 25 , 35 , 60 , 25 , 20 , 10 , 15 , 30 , 75 , 60 , 10 , 40 , -   , 70 , 25 , 15 , -   , -   , 25 , 15 , 60 , 60 , 675 ," 2,480 "
       Spanish , 110 , 730 , 245 , 600 , 460 , 565 , 895 , 125 , 600 , 680 , 385 , 805 , 130 ," 1,110 ", 645 , 125 , 95 , 110 , 605 , 405 ," 1,320 ", 205 ," 10,945 "," 36,000 "
"       Yugoslav, n.i.e. ", 30 , 255 , -   , 85 , 95 , 35 , 55 , 10 , 35 , 135 , 30 , 30 , -   , 105 , 25 , -   , 30 , 25 , 30 , 20 , 155 , 35 ," 1,245 "," 5,525 "
     Other European origins , 405 ," 1,085 ", 940 ," 1,000 ", 630 , 220 , 310 , 545 , 260 ," 1,590 ", 575 , 620 , 475 , 170 , 655 , 675 , 595 , 175 , 225 , 105 ," 1,305 ", 700 ," 13,255 "," 26,485 "
       Basque , -   , -   , -   , 20 , 10 , -   , 10 , -   , 10 , 25 , -   , 10 , -   , 10 , 10 , 10 , 20 , -   , 10 , -   , 50 , 15 , 220 , 405 
       Gypsy (Roma) , -   , -   , -   , 10 , 10 , -   , -   , -   , -   , 10 , -   , 20 , -   , -   , 20 , -   , -   , -   , -   , -   , 35 , -   , 100 , 250 
       Jewish , 340 , 605 , 910 , 885 , 515 , 200 , 260 , 515 , 205 ," 1,455 ", 510 , 480 , 460 , 125 , 630 , 630 , 545 , 110 , 150 , 100 , 960 , 670 ," 11,255 "," 21,465 "
       Slav (European) , 10 , -   , -   , -   , 10 , 10 , -   , 20 , 25 , 15 , 15 , 10 , -   , -   , -   , -   , -   , 10 , 30 , -   , 145 , -   , 295 , 765 
"       European, n.i.e. ", 55 , 470 , 110 , 100 , 125 , 10 , 40 , 10 , 30 , 105 , 45 , 100 , 15 , 30 , -   , 45 , 50 , 60 , 40 , -   , 145 , 35 ," 1,645 "," 3,975 "
   African origins , 45 , 580 , 155 , 395 , 455 , 250 , 385 , 50 , 375 , 400 , 330 , 345 , 15 , 400 , 285 , 65 , 90 , 60 , 330 , 145 , 630 , 55 ," 5,835 "," 22,610 "
     Afrikaner , -   , -   , 15 , 10 , -   , -   , -   , -   , -   , -   , -   , 15 , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , 70 , 290 
